,cn_id,hateSpeech,counterSpeech,hsType,hsSubType,cnType,age,gender,educationLevel
10,ENT1ST0001HS0033CN000024P1,In Birmingham there is a school where girls and boys are separeted even if it isn't legal.,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",Islamophobia,crimes,facts,61.0,male,Bachelor
11,ENT1ST0001HS0033CN000024P2,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",Islamophobia,crimes,facts,61.0,male,Bachelor
12,ENT1ST0001HS0046CN000014,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",Islamophobia,crimes,facts,25.0,male,Bachelor
13,ENT1ST0001HS0046CN000014P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",Islamophobia,crimes,facts,25.0,male,Bachelor
14,ENT1ST0001HS0046CN000014P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",Islamophobia,crimes,facts,25.0,male,Bachelor
15,ENT1ST0001HS0046CN000015,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,Islamophobia,crimes,facts,21.0,female,Master
16,ENT1ST0001HS0046CN000015P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,Islamophobia,crimes,facts,21.0,female,Master
17,ENT1ST0001HS0046CN000015P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,Islamophobia,crimes,facts,21.0,female,Master
18,ENT1ST0001HS0046CN000016,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,No they are not - prove this?,Islamophobia,crimes,question,25.0,male,Master
19,ENT1ST0001HS0046CN000016P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,No they are not - prove this?,Islamophobia,crimes,question,25.0,male,Master
20,ENT1ST0001HS0046CN000016P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,No they are not - prove this?,Islamophobia,crimes,question,25.0,male,Master
21,ENT1ST0001HS0046CN000017,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",Islamophobia,crimes,hypocrisy,25.0,male,Bachelor
22,ENT1ST0001HS0046CN000017P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",Islamophobia,crimes,hypocrisy,25.0,male,Bachelor
23,ENT1ST0001HS0046CN000017P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",Islamophobia,crimes,hypocrisy,25.0,male,Bachelor
24,ENT1ST0001HS0046CN000018,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",Islamophobia,crimes,humor,21.0,female,Master
25,ENT1ST0001HS0046CN000018P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",Islamophobia,crimes,humor,21.0,female,Master
26,ENT1ST0001HS0046CN000018P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",Islamophobia,crimes,humor,21.0,female,Master
27,ENT1ST0001HS0046CN000019,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,Islamophobia,crimes,facts,25.0,male,Bachelor
28,ENT1ST0001HS0046CN000019P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,Islamophobia,crimes,facts,25.0,male,Bachelor
29,ENT1ST0001HS0046CN000019P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,Islamophobia,crimes,facts,25.0,male,Bachelor
30,ENT1ST0001HS0046CN000020,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,Islamophobia,crimes,denouncing,25.0,male,Bachelor
31,ENT1ST0001HS0046CN000020P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,Islamophobia,crimes,denouncing,25.0,male,Bachelor
32,ENT1ST0001HS0046CN000020P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only traitors are the conspiracy theorists who spread this kind of misinformation.,Islamophobia,crimes,denouncing,25.0,male,Bachelor
33,ENT1ST0001HS0054CN000058,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",Islamophobia,crimes,facts,22.0,female,Master
34,ENT1ST0001HS0054CN000058P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.","The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",Islamophobia,crimes,facts,22.0,female,Master
35,ENT1ST0001HS0054CN000058P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.","The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",Islamophobia,crimes,facts,22.0,female,Master
36,ENT1ST0001HS0054CN000059,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,Is this true? Where is your source?,Islamophobia,crimes,question,25.0,male,Master
37,ENT1ST0001HS0054CN000059P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",Is this true? Where is your source?,Islamophobia,crimes,question,25.0,male,Master
38,ENT1ST0001HS0054CN000059P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.",Is this true? Where is your source?,Islamophobia,crimes,question,25.0,male,Master
39,ENT1ST0001HS0054CN000060,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia,crimes,"hypocrisy , question",22.0,female,Master
40,ENT1ST0001HS0054CN000060P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia,crimes,"hypocrisy , question",22.0,female,Master
41,ENT1ST0001HS0054CN000060P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.",The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia,crimes,"hypocrisy , question",22.0,female,Master
42,ENT1ST0001HS0054CN000061,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",Islamophobia,crimes,facts,22.0,female,Master
43,ENT1ST0001HS0054CN000061P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.","Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",Islamophobia,crimes,facts,22.0,female,Master
44,ENT1ST0001HS0054CN000061P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.","Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",Islamophobia,crimes,facts,22.0,female,Master
45,ENT1ST0001HS0074CN000062,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
46,ENT1ST0001HS0074CN000062P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
47,ENT1ST0001HS0074CN000062P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
48,ENT1ST0001HS0074CN000063,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia,crimes,facts,26.0,female,Bachelor
49,ENT1ST0001HS0074CN000063P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia,crimes,facts,26.0,female,Bachelor
50,ENT1ST0001HS0074CN000063P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia,crimes,facts,26.0,female,Bachelor
51,ENT1ST0001HS0074CN000064,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,Islamophobia,crimes,"facts , question",26.0,female,Bachelor
52,ENT1ST0001HS0074CN000064P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,Islamophobia,crimes,"facts , question",26.0,female,Bachelor
53,ENT1ST0001HS0074CN000064P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,Islamophobia,crimes,"facts , question",26.0,female,Bachelor
54,ENT1ST0001HS0074CN000065,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","In fact, the government deports those criminals back to their countries.",Islamophobia,crimes,facts,29.0,female,Master
55,ENT1ST0001HS0074CN000065P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.","In fact, the government deports those criminals back to their countries.",Islamophobia,crimes,facts,29.0,female,Master
56,ENT1ST0001HS0074CN000065P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","In fact, the government deports those criminals back to their countries.",Islamophobia,crimes,facts,29.0,female,Master
57,ENT1ST0001HS0074CN000066,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",Islamophobia,crimes,"denouncing , hypocrisy",61.0,male,Bachelor
58,ENT1ST0001HS0074CN000066P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.","What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",Islamophobia,crimes,"denouncing , hypocrisy",61.0,male,Bachelor
59,ENT1ST0001HS0074CN000066P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",Islamophobia,crimes,"denouncing , hypocrisy",61.0,male,Bachelor
60,ENT1ST0001HS0074CN000067,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.",Islamophobia,crimes,"consequences , hypocrisy",24.0,female,Bachelor
61,ENT1ST0001HS0074CN000067P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.",Islamophobia,crimes,"consequences , hypocrisy",24.0,female,Bachelor
62,ENT1ST0001HS0074CN000067P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.",Islamophobia,crimes,"consequences , hypocrisy",24.0,female,Bachelor
63,ENT1ST0001HS0074CN000068,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",Islamophobia,crimes,facts,26.0,female,Bachelor
64,ENT1ST0001HS0074CN000068P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",Islamophobia,crimes,facts,26.0,female,Bachelor
65,ENT1ST0001HS0074CN000068P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",Islamophobia,crimes,facts,26.0,female,Bachelor
66,ENT1ST0001HS0074CN000069,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,Islamophobia,crimes,question,24.0,female,Bachelor
67,ENT1ST0001HS0074CN000069P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,Islamophobia,crimes,question,24.0,female,Bachelor
68,ENT1ST0001HS0074CN000069P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,Islamophobia,crimes,question,24.0,female,Bachelor
69,ENT1ST0001HS0074CN000070,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",An entire faith? Really? Can you not see how ignorant this is?,Islamophobia,crimes,denouncing,25.0,male,Master
70,ENT1ST0001HS0074CN000070P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",An entire faith? Really? Can you not see how ignorant this is?,Islamophobia,crimes,denouncing,25.0,male,Master
71,ENT1ST0001HS0074CN000070P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",An entire faith? Really? Can you not see how ignorant this is?,Islamophobia,crimes,denouncing,25.0,male,Master
72,ENT1ST0001HS0092CN000001,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Are you blaming all community for the action of a few? Doesn't seem very fair does it?,Islamophobia,crimes,denouncing,26.0,female,Bachelor
73,ENT1ST0001HS0092CN000001P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,Are you blaming all community for the action of a few? Doesn't seem very fair does it?,Islamophobia,crimes,denouncing,26.0,female,Bachelor
74,ENT1ST0001HS0092CN000001P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Are you blaming all community for the action of a few? Doesn't seem very fair does it?,Islamophobia,crimes,denouncing,26.0,female,Bachelor
75,ENT1ST0001HS0092CN000002,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",Islamophobia,crimes,denouncing,24.0,female,Bachelor
76,ENT1ST0001HS0092CN000002P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,"Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",Islamophobia,crimes,denouncing,24.0,female,Bachelor
77,ENT1ST0001HS0092CN000002P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",Islamophobia,crimes,denouncing,24.0,female,Bachelor
78,ENT1ST0001HS0092CN000003,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.",Islamophobia,crimes,facts,29.0,female,Master
79,ENT1ST0001HS0092CN000003P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,"The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.",Islamophobia,crimes,facts,29.0,female,Master
80,ENT1ST0001HS0092CN000003P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.",Islamophobia,crimes,facts,29.0,female,Master
81,ENT1ST0001HS0092CN000004,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Positive news stories*.,Islamophobia,crimes,other,25.0,male,Master
82,ENT1ST0001HS0092CN000004P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,Positive news stories*.,Islamophobia,crimes,other,25.0,male,Master
83,ENT1ST0001HS0092CN000004P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Positive news stories*.,Islamophobia,crimes,other,25.0,male,Master
84,ENT1ST0001HS0092CN000005,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Surely it is our 'actions' that make us criminals, not whichever faith we folow, whether than be by choice or tradition or culture?",Islamophobia,crimes,facts,61.0,male,Bachelor
85,ENT1ST0001HS0092CN000005P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,"Surely it is our 'actions' that make us criminals, not whichever faith we folow, whether than be by choice or tradition or culture?",Islamophobia,crimes,facts,61.0,male,Bachelor
86,ENT1ST0001HS0092CN000005P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Surely it is our 'actions' that make us criminals, not whichever faith we folow, whether than be by choice or tradition or culture?",Islamophobia,crimes,facts,61.0,male,Bachelor
87,ENT1ST0001HS0092CN000006,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",This is not true. How can you say this about an entire faith?,Islamophobia,crimes,denouncing,25.0,male,Master
88,ENT1ST0001HS0092CN000006P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,This is not true. How can you say this about an entire faith?,Islamophobia,crimes,denouncing,25.0,male,Master
89,ENT1ST0001HS0092CN000006P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",This is not true. How can you say this about an entire faith?,Islamophobia,crimes,denouncing,25.0,male,Master
90,ENT1ST0001HS0092CN000007,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Muslims are also average and decent British citizens? Repatriate?,Islamophobia,crimes,hypocrisy,25.0,male,Master
91,ENT1ST0001HS0092CN000007P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,Muslims are also average and decent British citizens? Repatriate?,Islamophobia,crimes,hypocrisy,25.0,male,Master
92,ENT1ST0001HS0092CN000007P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Muslims are also average and decent British citizens? Repatriate?,Islamophobia,crimes,hypocrisy,25.0,male,Master
93,ENT1ST0001HS0092CN000008,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Saying that all people of certain religion are violent criminals does not make sense at all.,Islamophobia,crimes,"denouncing , facts",26.0,female,Bachelor
94,ENT1ST0001HS0092CN000008P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,Saying that all people of certain religion are violent criminals does not make sense at all.,Islamophobia,crimes,"denouncing , facts",26.0,female,Bachelor
95,ENT1ST0001HS0092CN000008P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Saying that all people of certain religion are violent criminals does not make sense at all.,Islamophobia,crimes,"denouncing , facts",26.0,female,Bachelor
96,ENT1ST0001HS0092CN000009,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.",Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
97,ENT1ST0001HS0092CN000009P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,"Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.",Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
98,ENT1ST0001HS0092CN000009P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.",Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
