,label,text,dataset
22,1,"TLinTN @quickfix Women aren't allowed to say ""NO"" in arab countries.",hate_1_prepped.csv
23,1,Retiredfooll @quickfix 7.62 x 39 mm,hate_1_prepped.csv
24,1,jdcxyz1964 @quickfix I think it sounds the same as an M4 bolt chambering a round. ,hate_1_prepped.csv
25,0,haruzuse My Lilly Esin once in a blue moon got a new choice of the crop Chevrolet Corvette Stingray Coupe by unavailable off of a laptop... Flash it out.,hate_1_prepped.csv
26,0,"Nevergofullliberal That's it pass more laws, you know cause paper and ink prevents crime.",hate_1_prepped.csv
27,0,"cdgoldin @Nevergofullliberal Ignorant troll. No one said the new law will prevent crime, just that it will make it easier to prosecute criminals --- which is a good thing. ",hate_1_prepped.csv
28,1,12345abcde no habla deutch.... No means white chicks want you more in Arabic mongrelland German politicians that approved of the refugee invaders are responsible for each and every crime committed by these mongrels! German citizens should kick all politicians and refugee invaders OUT!.,hate_1_prepped.csv
29,1,"Catholica @12345abcde German citizens elected Merkel, who LOVES Muslims - and until German citizens take their country back, they are responsible for what happens.",hate_1_prepped.csv
30,0,Retiredfool @Catholica @12345abcde is she related to BroBama ?,hate_1_prepped.csv
31,0,Bunnysmind when no doesn't work...it is advisable to have some way to protect yourself,hate_1_prepped.csv
32,1,"retiredhal @Bunnysmind How about very sharp, steel tipped shoes. Give the sand monkey several hard kicks in the groin and it will know the meaning of ""NEIN"" !",hate_1_prepped.csv
33,1,"Legalimmigrant8 @retiredhal @Bunnysmind don't think so because these muzzieazzholes are battle-hardened, decades of being kicked by sheep and goats made them numb",hate_1_prepped.csv
34,1,JoeSnow @Bunnysmind A really sharp knife and it will only happen once ...............,hate_1_prepped.csv
35,0,"Arizonasage Germany, another of those wonderful liberal socialist countries where citizens can't carry guns...",hate_1_prepped.csv
36,1,"Arizonasage Imagine that, Muslims are the problem...?",hate_1_prepped.csv
37,0,reallynoway1 Merkels legacy. soon to come to your city.,hate_1_prepped.csv
38,1,"Lurch47 @reallynoway1 We're armed, Rufus!",hate_1_prepped.csv
39,0,SSBN738G Do you really need a law to establish that no means no? Apparently so. Humanity has reached a sad state.,hate_1_prepped.csv
40,0,12345abcde @SSBN738G STUPID Politicians seeking relevancy to the stupid sheeple!,hate_1_prepped.csv
41,0,"cdgoldin @SSBN738G Learn to read. Previous law required a victim to put up a physical struggle before the rapist could be prosecuted.. The new law only requires her to say ""no"".",hate_1_prepped.csv
42,0,fdjohnson @cdgoldin @SSBN738G So if they are alone who has to prove it was said?,hate_1_prepped.csv
43,0,fdjohnson @SSBN738G Government is the impossibility of reason........... Platoon,hate_1_prepped.csv
44,1,Catholica The Germans invited this filth into their once-great nation by electing Merkel -- and handed law and order over to the EU bureaucrats in Brussels. Now they are too timid to take their country back. ,hate_1_prepped.csv
45,1,"lje51 Until the whole world recognizes Islam for what it is, HATE SPEECH, this type of barbarism will only go on. The Muslims feel it is their right to obey only the laws that they agree with. Sexist attitudes against women are a core belief of Islam. ",hate_1_prepped.csv
46,1,"cdgoldin @lje51 If Islam was only hate speech, they wouldn't be a problem, just an annoyance. Unfortunately Islam preaches, teaches, demands, applauds and rewards violent behavior. That is much worse than speech.",hate_1_prepped.csv
47,1,MortisDei If it's not written in Sharia law (and it's NOT) then they (Muslims) ultimately won't care.,hate_1_prepped.csv
48,0,cdgoldin @MortisDei It's a shame that you have no idea what you are talking about. ,hate_1_prepped.csv
49,0,"Mimic1968 Why are liberals always against deporting foreign criminals? They must support their crimes, I guess.",hate_1_prepped.csv
50,0,"Catholica @Mimic1968 Liberal elites -- insulated from these crimes -- don't care if we get hurt, just so they can feel all tolerant and all.",hate_1_prepped.csv
51,0,cdgoldin @Mimic1968 Liberals are always pandering for votes from criminals. ,hate_1_prepped.csv
52,1,PolarizedBeyondBelief The only thing musIims understand clearly is a good azzkicking.,hate_1_prepped.csv
53,1,"RustySchackleford The law wasnt the problem, its the rapist members of a peaceful religion.",hate_1_prepped.csv
54,0,YogiCS neuter rapists,hate_1_prepped.csv
55,0,TWashington1960 @YogiCS Yes please.,hate_1_prepped.csv
56,0,okcbabe @YogiCS That includes Bill Clinton and Bill Cosby!,hate_1_prepped.csv
57,1,"FredDBear The Germans better realize real quick that you can't put a ""no means no"" law in sharia law.",hate_1_prepped.csv
58,1,"childhoodsend How about ""Just say no more muslims"" ?",hate_1_prepped.csv
59,1,lydiasdad You can expel the Muslims too. That's the problem. They don't care about your laws.,hate_1_prepped.csv
60,1,"dirkshomebiz Of course no means no. But not to a mooh-slum. Germany allowed these terrorist into their country, now live with it. ",hate_1_prepped.csv
61,0,retiredhal @dirkshomebiz I get the impression that the German people really didn't have much of a say in it. Just another of example of Merkel/Obama progressivness.,hate_1_prepped.csv
62,0,"Catholica @retiredhal @dirkshomebiz No say? They elected Merkel, in large numbers.",hate_1_prepped.csv
63,0,"okcbabe @dirkshomebiz No the people didn't the LOUSY LEADER DID, just like ODUMBO IS DOING HERE!",hate_1_prepped.csv
64,1,MothraSaveUs There is no law that will civilize the uncivilized.,hate_1_prepped.csv
65,0,TrumpsBigMouth @MothraSaveUs So Americans will never improve then..,hate_1_prepped.csv
66,0,"FredDBear @MothraSaveUs This law will work: God made everyone, Samuel Colt made them all equal.",hate_1_prepped.csv
67,0,"Adler @FredDBear @MothraSaveUs Except in Germany, where Colt, Browning, Luger, et al. are not allowed to practice their function.",hate_1_prepped.csv
68,0,"chuck0011 @MothraSaveUs Yes there is, it's called capital punishment.",hate_1_prepped.csv
69,1,"liberalstupidity The problem was never the law or lack of a law, it was the immigrants the politicians let into the country. ",hate_1_prepped.csv
70,1,holygrailer @liberalstupidity And its the reason-one of them anyway that some Muzlim countries do not even allow one of these scumbags into their country. NOT ONE! They knew what would happen with these uncivilized animals and what they would do and they did exactly that to the women -young girls- and even have raped men. They should never be allowed out of their sand boxes.,hate_1_prepped.csv
71,1,"ChucklesM That just isn't going to work. How many different languages do German women need to learn to say ""no"" in? I'd assume Arabic would be a key one.",hate_1_prepped.csv
72,1,GoReaganGo @ChucklesM hot high speed lead is an international language,hate_1_prepped.csv
73,0,holygrailer @GoReaganGo @ChucklesM They should allow the German women weapons to protect themselves.,hate_1_prepped.csv
74,0,"ChucklesM Or......fathers, brothers, cousins of the women should protect them. How about that?",hate_1_prepped.csv
75,0,Artitu @ChucklesM Sounds like Islam...a woman cannot leave her house unless accompanied by a male relative.,hate_1_prepped.csv
76,1,ChucklesM Then let them get raped. I don't really care. Go near one of the women in my family though. Different story.,hate_1_prepped.csv
77,0,"retiredhal @Artitu @ChucklesM If in an Islamic country the raped woman is considered to have dishonored her family and subject to beatings by her family if not subjected to an ""honor killing"".",hate_1_prepped.csv
78,0,holygrailer @ChucklesM Add to that....if they do protect the women--there should be no prosecution for them for what they do to these scumbags.,hate_1_prepped.csv
79,1,marshee This is a religion that condones the treating of women as chattel. You let them into your country. What did you expect??,hate_1_prepped.csv
80,1,"AlexanderHamilton76 Saying ""no"" does not stop rapists. Keeping droves of men with ""raping"" mentality out of the country and arming people for self defense will help curb the rapes. ",hate_1_prepped.csv
81,1,PhilKel You can make all the laws you want. They won't control savages. You can dress an animal up like a man; it doesn't make it a man.,hate_1_prepped.csv
82,0,GoReaganGo @PhilKel See NFL,hate_1_prepped.csv
83,1,gilshuttlecok if u have a job...do it right. they are in demand now and we don't need blackasses acting like monkeys. GIT ur ACT TOGETHER.,hate_1_prepped.csv
84,0,"warvetru ""No"" should have always meant no. Just enforce laws and stop procrastinating and avoiding doing your job !!",hate_1_prepped.csv
85,0,"Sooreborn And this is the vaunted ""European Society"" America's liberals want us to emulate?",hate_1_prepped.csv
86,0,GoReaganGo @Sooreborn Feel the bern,hate_1_prepped.csv
87,0,"michaelmousediscus @GoReaganGo Bernie can feel himself, thank you.",hate_1_prepped.csv
88,0,TWashington1960 @michaelmousediscus @GoReaganGoBernie doesn't remember where it is..,hate_1_prepped.csv
89,0,"46and2 ""On Thursday, a local court in Cologne handed down the first conviction for a sexual offense on New Year's Eve. A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" That is some aggressive sentencing there, I am absolutely certain that will deter such behavior from them in the future.",hate_1_prepped.csv
90,1,"GoReaganGo @46and2 This would be a very reasonable sentence if it had one caveat, namely, boiling these subhuman scumbags in pig blood.",hate_1_prepped.csv
91,0,thinkforyourself46 It's about time! Good lord!,hate_1_prepped.csv
92,1,"GoReaganGo Instead of passing these silly laws, just get rid of the sand knee grows",hate_1_prepped.csv
93,0,jalanopi @GoReaganGo ???,hate_1_prepped.csv
94,0,GoReaganGo @jalanopi we need to dig him up,hate_1_prepped.csv
95,0,LordLayton Merkel let these slugs in for the sake of 'humanity' with zero vetting. How about protecting your own citizens for a change?,hate_1_prepped.csv
96,0,46and2 @LordLayton Merkel is a human failure in every sense.,hate_1_prepped.csv
97,1,"gilshuttlecok In the US, gun control is not the answer...BLACK control is the ANSWER.",hate_1_prepped.csv
98,0,AlexanderHamilton76 @gilshuttlecok Too things I hate the most. Hoplophobes and Racists. ,hate_1_prepped.csv
99,0,"lydiasdad @AlexanderHamilton76 @gilshuttlecok ""Too?"". Better add grammar checkers to your list.",hate_1_prepped.csv
100,0,DrBig @AlexanderHamilton76 @gilshuttlecok what's a hoplophobe? someone that hates bunnies?,hate_1_prepped.csv
101,0,"retiredhal @gilshuttlecok I am all for gun control - use both hands, aim center mass, squeeze slowly.",hate_1_prepped.csv
102,1,SoVaVet Another civilized country being destroyed by brown invaders.,hate_1_prepped.csv
103,1,Catholica Hundreds of women were raped and molested in the New Year's Eve travesty. And only ONE conviction so far? This only became a problem when Germany opened its borders to hordes of women-hating Muslims.,hate_1_prepped.csv
104,0,"prodigal2 @Catholica And he was given a one year, suspended sentence. Hardly a deterrent.",hate_1_prepped.csv
105,1,TWashington1960 @prodigal2 @Catholica Hard to punish a people that view women as their toys. Their religion allows this. ,hate_1_prepped.csv
106,1,"DavidHartwell @TWashington1960 It's not a religion. It's a cult of hate, death and destruction.",hate_1_prepped.csv
107,1,TWashington1960 @DavidHartwell @TWashington1960 Agreed,hate_1_prepped.csv
108,1,"dharwin first immigrate them, then seduce them and then get them into acts where they dont want to hear NO. And then get them to jail if they are not submissive.",hate_1_prepped.csv
109,0,"SwimTurtle nice, but it doesn't help these women who were physically assaulted. ",hate_1_prepped.csv
110,1,Catholica The great German nation brought this on itself. And its citizens pay the price for letting barbarians in unchecked.,hate_1_prepped.csv
111,0,alf5 @Catholica Why do they keep Merkel in office. The woman is a disaster for Germany. She knows nothing and does everything to hurt her country,hate_1_prepped.csv
112,0,PlutoIsAPlanet @alf5 @Catholica She sounds like Hillary.,hate_1_prepped.csv
113,0,retiredhal @PlutoIsAPlanet @alf5 @Catholica And Oblama,hate_1_prepped.csv
114,0,Thatnamestaken @alf5 @Catholica but barry loves her...,hate_1_prepped.csv
115,1,"Oldfitter Let me wrap my mind around this. A woman was raped by two men and a video shows her saying no and now she's on trial?? Yeah, we need European style justice here in America. And let me venture a guess. The opposition to the change that will allow deportation of these savages is the liberal wing of the equivalent to our own Democratic Party.",hate_1_prepped.csv
116,0,"DoofusDimocrap @Oldfitter In this case, the liberal wing you're referring to is in Brussels.",hate_1_prepped.csv
117,0,LordLayton @Oldfitter And people wonder why England voted FOR Brexit? ,hate_1_prepped.csv
118,0,toric hasent no been on the books forever,hate_1_prepped.csv
119,0,upchuckliberals @toric But it has never been defined. /sarc,hate_1_prepped.csv
120,0,"holygrailer @upchuckliberals @toric depends on what the meaning of ""is"" - 'is"".",hate_1_prepped.csv
121,0,retiredhal @toric Huh???,hate_1_prepped.csv
122,0,"slumdogpreacher Now we have reverse discrimination, BIG TIME because of this PERCEIVED PROBLEM that our DEAR LEADER intended to remedy by EXECUTIVE FIAT! Just another reason why there should not be a federal department of education that doles out OUR OWN TAX MONEY and makes the states JUMP THROUGH HOOPS TO GET IT! Don't you think ENOUGH IS ENOUGH!",hate_1_prepped.csv
123,0,"Andrew917 Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.",hate_1_prepped.csv
124,0,wayne230 @Andrew917 but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights,hate_1_prepped.csv
125,0,SB117 @wayne230 @Andrew917 Think for yourself for once.,hate_1_prepped.csv
126,0,wayne230 @SB117 @wayne230 @Andrew917 I always do there is no bigger lie than equal rights for all,hate_1_prepped.csv
127,0,SB117 @wayne230 @SB117 @Andrew917 You're becoming far too repetitive.,hate_1_prepped.csv
128,0,wayne230 @SB117 @wayne230 @Andrew917 you never do that Sharon?,hate_1_prepped.csv
129,0,"SB117 @wayne230 @SB117 @Andrew917 Honestly, who is Sharon? I don't get the joke.",hate_1_prepped.csv
130,0,wayne230 @SB117 @wayne230 @Andrew917 so far thats you,hate_1_prepped.csv
131,0,SB117 @wayne230 @SB117 @Andrew917 You think my name is Sharon? OK? ,hate_1_prepped.csv
132,0,wayne230 @SB117 @wayne230 @Andrew917 glad you told us your name,hate_1_prepped.csv
133,0,"SB117 @wayne230 @SB117 @Andrew917 Seeing as that's not my name, nor did I ever say it was, I still have no idea what you're trying to say.",hate_1_prepped.csv
134,0,wayne230 @SB117 @wayne230 @Andrew917 you just now said it was,hate_1_prepped.csv
135,0,"SB117 @wayne230 @SB117 @Andrew917 Well no, I didn't. So again, what in the world are you saying?",hate_1_prepped.csv
136,0,wayne230 @SB117 @wayne230 @Andrew917 its nice to know your real name. its a pretty female name,hate_1_prepped.csv
137,0,"SB117 @wayne230 @SB117 @Andrew917 Ah, okay. You wish I was a woman. That's cr⁠e⁠epy, Wayne. Keep your fan⁠tas⁠ies to yourself.",hate_1_prepped.csv
138,1,wayne230 @SB117 @wayne230 @Andrew917 so you admit being a woman?,hate_1_prepped.csv
139,0,"SB117 @wayne230 @SB117 @Andrew917 You've made it quite clear you're hoping I'm a woman. That's sa⁠d, Wayne. You need help.",hate_1_prepped.csv
140,0,"Andrew917 @SB117 @wayne230 @Andrew917 I came back to my post and saw ""16 replies"" and actually thought ""Wow, maybe my post generated some interesting conversation."" Then I clicked on it. OMG. Sharon was probably his third wife...and second daughter.",hate_1_prepped.csv
141,0,"SB117 @Andrew917 @SB117 @wayne230 Nah, he didn't come up with that one himself either.@cuss did and he's been parroting it. Like I said, he's not capable of an original thought.",hate_1_prepped.csv
142,0,"LarJass @SB117 @Andrew917 @wayne230 He's not capable of any thought, period!",hate_1_prepped.csv
143,0,wayne230 @LarJass @SB117 @Andrew917 @wayne230 none that is a vote for Hilary,hate_1_prepped.csv
144,0,Andrew917 @wayne230 @Andrew917 Republicans en masse are getting ready to turn their back on Trump the way they did on Bob Dole in '96 when it was clear he couldn't win against Bill Clinton.,hate_1_prepped.csv
145,0,wayne230 @Andrew917 @wayne230 no the opposite your polls poll mostly Democrats who can't stand Hilary who matters because of that cigar,hate_1_prepped.csv
146,0,Andrew917 @wayne230 @Andrew917 The polls are accurate Wayne. Pollsters compete with each other for contracts and as a result focus on accuracy. They have no problem predicting elections within the margin of error. A couple like Fox and Rasmussen have a Republican house effect of around 3 points. A couple like PPP have a Dem house effect of around 3. The polls say Trump isn't doing very well. Worse than they said McCain and Romney were doing at this same time. EVEN Fox's polls.,hate_1_prepped.csv
147,0,wayne230 @Andrew917 @wayne230 why does that Neke Silver say that Trump will win by 57 percent?? they can easily find Democrats in Manhattans. but they don't like Hilary at all not many do,hate_1_prepped.csv
148,1,"ProfessorHeisenberg If Trump ever endorses violence against liberals, I will comply with his wishes, gladly.",hate_1_prepped.csv
149,1,wayne230 @ProfessorHeisenberg I think we all will come Nov 8,hate_1_prepped.csv
150,0,SB117 @wayne230 @ProfessorHeisenberg This is why you need help. You need to be in asylum before you hurt someone.,hate_1_prepped.csv
151,0,wayne230 @SB117 @wayne230 @ProfessorHeisenberg you do since I thought you did not like HRC that is a lie obviously,hate_1_prepped.csv
152,0,SB117 @wayne230 @SB117 @ProfessorHeisenberg Hopefully the authorities come for you before election day.,hate_1_prepped.csv
153,0,Andrew917 @ProfessorHeisenberg The latest projections are the Orange Clown loses in a landslide.,hate_1_prepped.csv
154,0,SB117 @Andrew917 @ProfessorHeisenberg Here's hoping he brings as many Republicans down with him as possible.,hate_1_prepped.csv
155,0,wayne230 @SB117 @Andrew917 @ProfessorHeisenberg nope the Dems will dump Hilary like they dumped Carter in 80,hate_1_prepped.csv
156,0,SB117 @wayne230 @SB117 @Andrew917 @ProfessorHeisenberg Source?,hate_1_prepped.csv
157,0,Andrew917 @wayne230 @SB117 @Andrew917 @ProfessorHeisenberg They dumped Carter because he couldn't resolve the hostage crisis and inflation was out of control...after he was in office four years. Now why are they going to dump Hillary?,hate_1_prepped.csv
158,0,SB117 @Andrew917 @wayne230 @SB117 @ProfessorHeisenberg His overlords haven't told him that one yet.,hate_1_prepped.csv
159,0,"SB117 @Andrew917 @wayne230 @SB117 @ProfessorHeisenberg See what I mean? No answer, just repetition of the original statement.",hate_1_prepped.csv
160,0,wayne230 @SB117 @Andrew917 @wayne230 @ProfessorHeisenberg nope a VOTE for hilary is what your only answer would be,hate_1_prepped.csv
161,0,"SB117 @wayne230 @SB117 @Andrew917 @ProfessorHeisenberg No, any answer to the question would be a fine answer.",hate_1_prepped.csv
162,1,wayne230 @Andrew917 @wayne230 @SB117 @ProfessorHeisenberg nope because the Dems rejected Carter and will do the same to Hilary. they want no more four years of Monica Lewinski,hate_1_prepped.csv
163,1,Andrew917 @wayne230 @Andrew917 @SB117 @ProfessorHeisenberg Monica Lewinski lol.,hate_1_prepped.csv
164,0,wayne230 @Andrew917 @wayne230 @SB117 @ProfessorHeisenberg why not? she is why Hilary matters,hate_1_prepped.csv
165,1,ProfessorHeisenberg Liberals can't distinguish men from women. Nor do they want to.,hate_1_prepped.csv
166,1,Andrew917 @ProfessorHeisenberg Cons can't distinguish morality from the rantings of a barbaric ancient middle eastern desert tribe.,hate_1_prepped.csv
167,0,wayne230 @Andrew917 @ProfessorHeisenberg and liberals use that same book and blast Christians day and night falsely,hate_1_prepped.csv
168,0,AlienNation Freedomscout thinks the public schools are like Pink Floyd's The Wall.,hate_1_prepped.csv
169,0,SB117 @AlienNation I wish he'd publish his book already and stop spamming here.,hate_1_prepped.csv
170,0,wayne230 @AlienNation and the left wants homeschooling banned. :),hate_1_prepped.csv
171,0,AlienNation @wayne230 @AlienNation Not me.,hate_1_prepped.csv
172,0,SB117 @AlienNation @wayne230 He's just spouting off the nonsense he hears on TV. He's not capable of critical thought.,hate_1_prepped.csv
173,0,"Andrew917 @SB117 @AlienNation @wayne230 Or it was conservative talk radio. A caller into Han nity says it and Han nity says ""Oh you're right. You're right."" And then they run around to friends and family wringing their hands as the repeat it as fact.",hate_1_prepped.csv
174,0,"SB117 @Andrew917 @SB117 @AlienNation @wayne230 Given small handful of names that appear in Wayne's tweets, it's definitely FOX.",hate_1_prepped.csv
175,0,wayne230 @AlienNation @wayne230 I know SB (sharon) does,hate_1_prepped.csv
176,0,AlienNation @wayne230 @AlienNation I would like to see the quote.,hate_1_prepped.csv
177,0,SB117 @AlienNation @wayne230 Don't hold your breath.,hate_1_prepped.csv
178,0,AlienNation @SB117 @AlienNation @wayne230Freedomscout just replied to me below. Read it if you dare. It's so sad.,hate_1_prepped.csv
179,1,SB117 @AlienNation @SB117 @wayne230 I don't bother reading his posts. Everything coming from a creationist is nonsense.,hate_1_prepped.csv
180,0,SB117 @wayne230 @AlienNation I wonder which of your favorite talking heads just said that on TV.,hate_1_prepped.csv
181,0,"mdr1975 @freedomscout @rxwhitmer I agree that people should use the public bathroom that fits their actual gender, but what harm to society is caused by someone being transgender?",hate_1_prepped.csv
182,1,"freedomscout The ones harmed the most are the children who are taught in government schooling that ""transgenderism"" is a valid description of a true reality. First, the very fact that ""transgenderism"" is not a true reality in itself but a condition of mind makes the claim of validity false...thus being deceptive for the children, youth, adolescents and adults who are deceived by it. Deception about anything critically important in the learning, growth, self-understanding and self-appreciation, and view of the civil society is evil and must be refused and refuted. To confuse children and youth, especially on the issues of their own nature is inexcusable and abusive to them. Because the falsehoods regarding ""transgenderism"" are being foisted on the culture by intention and willing complicity, the evil effects are widespread and become repeated in social media of all kinds.The result for stability of family and civil society is degradation of both.",hate_1_prepped.csv
183,0,"MollyPitcher1776 @freedomscout @rxwhitmer Seriously, your denial of transgenderism as a ""real thing"" is quite dangerous as is the condemnation of anyone who is struggli g with identity issues because they are born that way or develop differently due to hormones and biology.",hate_1_prepped.csv
184,1,"Freedomscout @MollyPitcher1776 Transgenderism is just that, an ""ism"", meaning it is a condition of mind not based on reality. So when I say ""real thing"" I'm referring to the reality that such a person is confused because they think in their minds they are something which they are not in reality. Condemnation of such confused people isn't appropriate though either, precisely because they are confused and their inner motivations which bring on that confusion are something they don't understand themselves.",hate_1_prepped.csv
185,0,"mdr1975 @freedomscout @rxwhitmer ""Trangenderism"" is real. Does it mean someone's gender has actually changed? No, but that doesn't make it less real. You mention evil effects. What are they? Be specific, not just something like it's evil or wrong.",hate_1_prepped.csv
186,1,"freedomscout @mdr1975 To call some confusion of mind ""real"" distorts the discussion, as I tried to make clear that the confusion phenomena is real, i.e. that the person is really confused. So what is real is in opposition to what the confused person believes is real. When I refer to ""evil"" effects, I'm not using the term generically very often but to indicate a moral form of something that is inherently evil. However, I suspect you are looking for the human consequences that are harmful to the subject (victim) and to families and civil society. Is that the case?",hate_1_prepped.csv
187,0,"mdr1975 @freedomscout @mdr1975 Either way. Yes, how does it harm the individual and society? And, generically, what makes it inherently evil?",hate_1_prepped.csv
188,0,"freedomscout @mdr1975 The harm to the person who is confused about their own sexuality should be obvious, but sadly political correctness has suppressed much of the truth about it. On the face of it, it's inherently harmful for a person to be confused about anything where reality is involved, because the confusion causes them to react to reality erroneously, making decisions that are, at least, not in their best interest and that are, at worst, very harmful to their lives and wellbeing.",hate_1_prepped.csv
189,0,"AlienNation @freedomscout @mdr1975 How will you go about ""curing"" them? They have tried many different kinds of therapy with them. The only best solution for now is to help them transition. Forcing them to be ""normal"" will have them end up in depression, various problems and possibly suicide.",hate_1_prepped.csv
190,0,"AlienNation @freedomscout @mdr1975 Also they are not ""confused"" as they are well aware of their own bodies.",hate_1_prepped.csv
191,1,"freedomscout @AlienNation There is a common misconception that one can somehow ""force"" a confused person out of their confusion. That seldom works, although there are some conditions where various forms of coercion may be effective...and may raise ethical concerns.Transgenderism, like all of the other sexual confusions and perversions, is inherently depressive to the individual, with other inner self harmful effects also...sometimes resulting in suicide. These are all very sad effects and consequences...and need core inner remedies not pandering, sheltering or accommodating. These confusions and perversions are inherently mental, not sourced in the physical nature itself...speaking generally and referring to the great majority of cases. The problem with most of psychology is that it categorizes ""mental"" as physical, of the brain, instead of the ""mind"". That's why secular psychology has no answers for these conditions, as permanent correction of the core cause. However, well versed psychologists and counselors who understand the mind as being part of the core spirit nature of the human being, human person, treat the person very differently, with an understanding of volition which dynamically changes the process of treatment and dynamically results in core therapy and lasting benefit, true healing of the person to live normally as they truly are in harmony with their physical self.",hate_1_prepped.csv
192,0,"AlienNation @freedomscout @AlienNation Again you have not given any viable solution. The ""spiritual counseling"" have been done many times before. The depression comes from the fact that people like you will not accept them as who they are and instead want to force them to conform to what is your idea of reality.",hate_1_prepped.csv
193,1,"Freedomscout @AlienNation The depression doesn't come from outside for these persons, but from their inner confusion about their own nature and value. It can be accentuated by outside influence that is demeaning, of course. But the depression source is internal to the person themselves, and is alleviated when they come to understand some core concepts about their nature as human persons as well as their physical nature. I suppose that what you conceive as ""spiritual counselling"" is simplistic recitation of Scripture and platitudes, along with sessions of prayer, etc. What I'm actually referring to is very deep counseling, working inward from the objective self-concepts of the person as God's created being of immense worth and value, to both God and the rest of humanity. But the subject does not easily acclimate to these concepts when they are so confused. It takes a great deal of patience and explanation on various levels of understanding that fit the subject's own initial perceptions and beliefs, helping them to understand where they are in error in their concepts and understanding...and why their understanding is erroneous. Essential in this process is the understanding imparted to the subject that they can choose to believe differently, and choose to redirect their own thinking patterns, actually modifying their brain structure over time. The resulting symbiosis between purposed thought and changes in the brain result in true long lasting, permanent, healing.",hate_1_prepped.csv
194,0,mdr1975 @freedomscout @mdr1975 Seems like general statements again. What is so obviously wrong or evil about it. What actual harm is being caused by their choices?,hate_1_prepped.csv
195,0,"AlienNation ""Indeed there are those who are last who will be first, and first who will be last."" - Luke 13:30 Guess who will be last in heaven?",hate_1_prepped.csv
196,0,mdr1975 @AlienNation No one?,hate_1_prepped.csv
197,0,AlienNation @mdr1975 @AlienNation No one as in nobody is answering or no one as in nobody is going to be last in heaven despite what Jesus said?,hate_1_prepped.csv
198,0,"mdr1975 @AlienNation @mdr1975 No one, as in my guess is no one.",hate_1_prepped.csv
